timestamp,platform,session_hash,message_length,response_length,mode,query_number,sources_found
2025-11-17T19:05:09.713334,whatsapp,dc735213b6c7521a,12,497,brief,1,6
2025-11-17T19:47:42.801160,whatsapp,dc735213b6c7521a,36,444,extended,1,6
2025-11-17T19:48:33.379826,whatsapp,dc735213b6c7521a,36,465,extended,2,6
2025-11-17T19:49:15.668860,whatsapp,dc735213b6c7521a,36,395,brief,3,6
2025-11-17T19:50:46.811740,telegram,a975eaf72b95273c,36,282,extended,4,6
2025-11-17T19:51:14.127068,telegram,a975eaf72b95273c,12,57,extended,5,6
2025-11-17T19:52:19.659195,telegram,a975eaf72b95273c,33,111,extended,6,6
2025-11-20T13:44:29.309588,whatsapp,dc735213b6c7521a,33,729,extended,1,6
2025-11-20T13:47:17.699942,whatsapp,dc735213b6c7521a,46,553,brief,2,6
2025-11-20T13:48:22.953032,whatsapp,dc735213b6c7521a,57,1299,brief,3,6
2025-11-20T13:51:22.874387,telegram,a975eaf72b95273c,33,794,extended,4,6
2025-11-20T13:52:17.200577,whatsapp,dc735213b6c7521a,33,946,brief,5,6
2025-11-21T18:14:13.021780,whatsapp,dc735213b6c7521a,120,1751,extended,1,6
2025-11-21T18:15:45.832752,whatsapp,dc735213b6c7521a,115,676,extended,2,6
2025-11-21T18:16:24.797050,whatsapp,dc735213b6c7521a,121,620,extended,3,6
2025-11-21T18:16:39.437217,whatsapp,dc735213b6c7521a,4,5,extended,4,6
2025-11-21T18:17:11.024692,whatsapp,dc735213b6c7521a,164,611,extended,5,6
2025-11-21T18:18:00.935731,whatsapp,dc735213b6c7521a,120,1101,extended,6,6
2025-11-21T18:18:29.518068,whatsapp,dc735213b6c7521a,271,1377,extended,7,6
2025-11-21T18:19:25.760117,whatsapp,dc735213b6c7521a,245,1106,extended,8,6
2025-11-21T18:21:14.597368,whatsapp,dc735213b6c7521a,196,1169,extended,9,6
2025-11-21T18:24:29.878591,whatsapp,dc735213b6c7521a,223,1071,extended,10,6
2025-11-21T18:25:31.670406,whatsapp,dc735213b6c7521a,242,1381,extended,11,6
2025-11-21T18:26:01.976964,whatsapp,dc735213b6c7521a,239,1453,extended,12,6
2025-11-21T18:26:33.581390,whatsapp,dc735213b6c7521a,207,864,extended,13,6
2025-11-21T18:27:23.906727,whatsapp,dc735213b6c7521a,216,971,extended,14,6
2025-11-21T18:28:04.138206,whatsapp,dc735213b6c7521a,196,762,extended,15,6
2025-11-21T18:28:30.472072,whatsapp,dc735213b6c7521a,232,1015,extended,16,6
2025-11-21T18:28:55.950816,whatsapp,dc735213b6c7521a,133,507,extended,17,6
2025-11-21T18:29:43.012251,whatsapp,dc735213b6c7521a,88,863,extended,18,6
2025-11-21T18:30:24.832888,whatsapp,dc735213b6c7521a,110,288,extended,19,6
2025-11-21T18:30:44.060206,whatsapp,dc735213b6c7521a,80,177,extended,20,6
2025-11-21T18:31:05.902384,whatsapp,dc735213b6c7521a,210,671,extended,21,6
2025-11-21T18:31:22.860192,whatsapp,dc735213b6c7521a,165,319,extended,22,6
2025-11-21T18:33:15.050040,whatsapp,dc735213b6c7521a,150,1117,extended,23,6
2025-11-21T20:41:39.418009,whatsapp,dc735213b6c7521a,33,914,brief,1,6
2025-11-21T20:42:17.867831,whatsapp,dc735213b6c7521a,46,449,brief,2,6
2025-11-21T20:42:51.263062,whatsapp,dc735213b6c7521a,46,588,brief,3,6
2025-11-21T20:43:46.661352,whatsapp,dc735213b6c7521a,61,812,brief,4,6
2025-11-21T20:44:30.491365,whatsapp,dc735213b6c7521a,109,918,brief,5,6
